ID;Name;PasswordChars;PasswordLength;Password;Hint1;Hint2;Hint3;Hint4;Hint5;Hint6;Hint7;Hint8;Hint9;Hint10
22;Oliver;ABCDEFGHIJKL;12;CCCDCCDCDCCC;HFCDKJLIGEB;KEAGHBDJLIC;LABIEFDCJGK;GDLBAHEFKCI;DLJIFKGCHEA;GIHBDFCAJEK;HLCAGKFJEBD;BILGDKACJHF;EDHBCJFKIAL;JIBLECAHFGD
23;Charlotte;ABCDEFGHIJKL;12;ECEECCCCEECE;AKDIJHCGELF;DIKFLEBAGCJ;CAGHLIEJBFD;ALBFDHCGKIE;GCBALDJEHFK;KFIEDJAGBHC;LBDAJCGEKHI;JKFIBEGCLHD;KFBLCEAHJID;FKHCIGJEBLA
24;Ethan;ABCDEFGHIJKL;12;AJJAAJJJAJJJ;HKDBGJLEFAC;KCILJGFDHAE;FBJALCEKIHG;EKHGBDLJFIA;HABGFDIJKLC;DEHJCBKIGAF;CLGEDFBJIKA;EJGKCLAIHBD;CEJDFBILAHK;GJAEDLFCHBI
25;Aubrey;ABCDEFGHIJKL;12;JJIIIIJIIIII;JDEHGKCLBAI;DLBHFGJIAEK;LIGCDHFBEJK;KIBGHJEACLF;CKDFGIBHLAJ;KGCAFDJELIB;FIAEHGLCJBD;DHECJFBLKIA;FIHCEDLJGKA;ADGFJBCIHKE
26;Jayden;ABCDEFGHIJKL;12;CCCCDDCDDDCC;DCKJFLBHGEA;KILGABCFJDH;CEFGJBADILH;EIKBJGCDLAH;GJBKEAIHCDF;BDHKCIFGELJ;FLGBDEJKICA;ELHBIGCDFKA;GCEAIFLJKHD;ACKLIBFDJHE
27;Lily;ABCDEFGHIJKL;12;EEEEEEEGGEGG;GJLEIAFCKBD;GJHFDCLIKEB;KBEAIFDGJLH;GJCKEFHALBD;LGAFEIHDKCB;AIHECLFDKGJ;IABLJCEFHGD;HLFCAEIJBKG;GECIDKFBHJA;CIAJDLHKGEB
28;Muhammad;ABCDEFGHIJKL;12;LAAAAALALLAL;KEIJGLHACDF;GKADIEHLCBJ;FCHEIBGKLAD;EIBFJHDGKLA;IEHJBACGFDL;KDGEFJBACLI;HCFBKDJLAGI;IECKDBFHLAJ;HCJGFBEKDAL;KBCAIGEHJFL
29;Chloe;ABCDEFGHIJKL;12;CCCJJJJCCJCJ;EBFHKAJGICD;KDLBCEIJAGF;DGHKCEFILBJ;LDEBHFICAJG;ADGJKFECLHI;JIEDBFCAHKL;HECGAFDKBJL;BJHDLEIAGKC;GKBEAFHICLJ;BAKCJGIDHFL
30;Carter;ABCDEFGHIJKL;12;GGGGGGIGGIGG;CHBLDJFGIAE;EIDFCBHKALG;DKHFLCBGIAJ;KLHEAGIDBJF;HEJCIADGBLK;LEKFIBJCDHG;FKDHAGCIJLE;FHIAJCEBLKG;CJKGHBFAEDI;DBKJCAGIELF
31;Harper;ABCDEFGHIJKL;12;HHFFFHFFFHFH;JKIEABDHFLG;IDCGEKHFJAL;JABDELFKICH;HLBIFKCDEGA;JFDKAHCBIEG;LCIFKDGJAHB;AEGDFHLCJIB;JIFCKLGDBHE;KFALEHBCDGJ;CELGKIBAJFH
32;Michael;ABCDEFGHIJKL;12;EAAEEAEEEEEA;LDKHBAFEICG;HAGCBKJEDLF;EIGBCHKADFJ;EKBLGCDJAIH;HLKDEBFACJI;HBLGFIKJDAE;GKEHAJCILBF;KCFLGJAEDIH;CGIBFDHJLAE;FALEDKIGBJC
33;Evelyn;ABCDEFGHIJKL;12;CJCJJCJJJJCJ;FHBKAGDLCIJ;LDIBEJFKHCG;KJLIECFGDBA;ACDLEJHIBFG;IFBKLHEACDJ;HEDAKJGCFLI;KGAICLEBFJH;GCIDEBAHFKJ;KLHJCBDFGEA;CGKDHLBJAIE
34;Sebastian;ABCDEFGHIJKL;12;EGEEEGEEGGEG;BDICLFKEJHG;IBGFKADELJH;HKDCBELAFJG;FKBEHGIDLAC;KDLFGEICHAJ;FBJAGICELHK;BKJECHIDAFG;EDBFCLGAHJI;IGDAJCLHBKE;KCGAJDIBLFE
35;Adalyn;ABCDEFGHIJKL;12;CIICIIIICIIC;DLBJAECHIGK;ACKIBDGHFLE;FCJEGLIKHDB;CFBAJHEGIDL;CDJBILFEGKA;BFKAECIDHJL;DJLHAFGECKI;DABCFHIGEKJ;LGAFJKBCEIH;CFDBIJLAHGK
36;Alexander;ABCDEFGHIJKL;12;FKKKKKKKKKFK;HLJCIEFDKGA;AKJELBCGIDF;CKGHIFAEBJD;KBFIDEHCJLA;HDABJEKGLCF;CDEFJHLBIKG;AJFIKLCEGBH;BIKDACGLEHF;AJKFCGBDHLI;GDIELABHKFJ
37;Emily;ABCDEFGHIJKL;12;AAGAAGAGAAAG;EKLDCJGHFAI;HLAIJEBGFCD;DIJGKEALHBF;HJKGBDCILFA;DBIJHCEAKFG;ICEKHBJGDLA;CBEIFLDKGAJ;EKHCGAIFDBL;GEKILACHBFJ;LKCGJBEDAFH
38;Jacob;ABCDEFGHIJKL;12;IEEEIEIIEEII;BAEIJLHCDFK;DBFLCGHIEJA;HLJDIKEACGB;GABEILFJCDK;EJAKIHLGDCF;FBIDKAGLJHE;JHLGACIBKFE;LDGEKIHBFJC;KHBCLEDAFIG;KCBDFEAHGJI
39;Abigail;ABCDEFGHIJKL;12;HHHHKKHKKKKK;KCAEGBJHDLI;HABFCLJGIDK;KEJHFBDGLIA;JEBIHLAKFDC;EBIJACGFLKH;GLJKFDIHECA;GECJFIKBHAD;GIHECLBKFDA;DFLHJCEBKIG;ALDBECHFKJG
40;Benjamin;ABCDEFGHIJKL;12;ECEECECECCEE;EBGIJDLFCHK;CKHIDGAEJFL;ACHIJFGDBEL;DLIGFKAEJBC;BAIDLGFHKEC;ECBALHIJKGF;KBLEJHDCIAF;KJGBAHCLEID;EKFAGCBJHID;HGDLKBEFAJC
41;Madison;ABCDEFGHIJKL;12;DDIIIDDIIDDD;DHKLBAEGFIJ;BJDIFCLGAKE;GHLADFBKCIJ;IACFBEKDGHL;BLEJIKCADHF;JLIEKAHCBGD;DIABHCJEGLF;FBKHDEGCLJI;JIHBAGKCEFD;LJEDFICGKHA
42;James;ABCDEFGHIJKL;12;JDJDDDJJDDDJ;JELGCAKBFHD;HBJLGAIKCFD;DHELJGBKACI;HCKFGDEIAJL;CGJLKBEFIAD;EHLJKBIFDAC;HJDFLGEABIC;CIKBEJLFGDH;KGEJIHLFBAD;DFGIJCHEBAK
43;Aaliyah;ABCDEFGHIJKL;12;LLAALLALLLLA;LBEHGJDCFIA;LFGJIAKDEBH;GHAKIFEBDLC;DGLBAEKJCHF;HACJBGKLIDF;KBLDJFAEGIC;KLGHDJAEIFC;BIFKCJAEHLD;EFKHCJGIBLA;IKJAEGDCBLH
44;Ryan;ABCDEFGHIJKL;12;KEEKEEKKKKEK;HJDAFCGBKEI;LGFJKBECDIH;KHLJICEGBDA;GIHADCJFKLE;LBFEGCIAJKD;FGBEAKHILCJ;IHLEKJDFAGB;CJLDHAGEKFB;DBFKLEJHAIC;KBIEFLDCHAG
45;Avery;ABCDEFGHIJKL;12;CHHHHHCCHCHH;KEDGLCHFBAI;CKHBJGDEFLI;CEHFKIGJABL;JKDALBFGCHE;IBDAHCKLJEG;JAHFECBLKDI;CHJFDBGKIAE;FCDEJIHAGLK;HCJFLKBIGAD;AHEGIBJLCFD
46;Matthew;ABCDEFGHIJKL;12;HEEEEHEHEEHH;KIHBLGFJAED;DFJKHAECLBG;FDAIJHECKGB;EJHIKAGBLFC;AKIJCFEDHLG;CGJIDABEHLF;BGCFEKHLADI;IGKHDEBJFLC;HBFEKLIADCJ;CADHKGELIBJ
47;Ella;ABCDEFGHIJKL;12;JJBBJJJBBJBB;LAKHJFIGDCB;DIEHALBFGJK;DLBKFCHEGJI;FBCAIDEKJHG;EGDCKAFBJHL;BAHGFEDCJLI;LGCKHBEIJFA;FACKDGLIEJB;JIEBCKLDGHA;CAFJLIDBEKH
48;Daniel;ABCDEFGHIJKL;12;KKHKHHHHHKKH;EFBHLJIDAKG;DKAIJGFCBHL;LBIHFDGCJKE;LJIGHECDAKF;IEBHFJAGCKD;BCGKJIHLAFE;BCGJKLIADHE;KCFHELDBAJG;KCAELIHDBFJ;DCIEAFHKGLB
49;Scarlett;ABCDEFGHIJKL;12;LLJLJJJJJJLJ;JKDEGFBHILA;KJDBCHILGEF;ABJKFLGHDCE;CEADBKHGLJI;LIFACKBEHDJ;ALHJGDBCFEI;LGAKBHIDFCJ;GFEJALBCDKI;JIGKHFBCAEL;LKHAFJGCIED
50;Jayce;ABCDEFGHIJKL;12;IIEIEEEIIEIE;DCLEKGIBFHJ;HCLDBKEJAFI;JCDHLAKEIBG;GHIDBKLCAEF;AEIHBLJDGFC;IEJCAHFBGKD;FDJAECBIGLK;EHBIJAKCFLG;KLDJHFICAEG;DIFBAEHJLGK
51;Maya;ABCDEFGHIJKL;12;BCCCBCCCCCCB;HEAIGBFKJCD;LEKFJBGCIDH;LHABJCKGIDE;CLGKDJFIHAB;FIELJGACHBD;GFBJCAILKEH;CDFABLJEGIK;IKDGFEBLAHC;HDKFLCEJBAI;FHBGDACLEJK
52;Mateo;ABCDEFGHIJKL;12;AHAAHHHAAAHA;ILHCKFBGAJD;BHAJLKFGIED;KLFDABGHEJC;FDAKEGHCIBL;LJBAHIDCFEK;GBAIJCDLEFH;CJEGLFAHKBI;IHKECJFDGAL;KGBIJHCELDA;ICFJBGKADEH
53;Mila;ABCDEFGHIJKL;12;HEHHEHHHHEHH;BKFIELGACDH;EJGLDIHBCFA;LEHCKJAFDGI;IGJACFHEKBD;HDLGFCJKIEB;JLIBFEKCDHA;ACHLDGFKEJB;ILJAGKBCHDE;EBKLAIGCJFH;KAJBEGFILDH
54;Caleb;ABCDEFGHIJKL;12;BFFBFBBFBFBB;KCJILHGAFDB;LDGKHJAEIBF;AFCILKDHGBE;CFGJEDAHILB;DFIHBCEJKAL;CKEFGBADJLH;HKFIBECAJLG;BJCDKLFEGIA;DHLCGFKBIEJ;GKBEFCDIHAJ
55;Nora;ABCDEFGHIJKL;12;AAAGAAAGGGGA;HGIFKJDACEB;JLGAIHKDFEB;EKFCJHIAGBL;KLGIFCAJEBD;IKDLCBEFAGH;FHIKDGEJLAC;DELJGABCKHF;CIHGLJEFBAD;JAKCBEILGDH;ABIJCGHDFLK
56;Luke;ABCDEFGHIJKL;12;ELEEELEELEEE;LGKHAFIDJEB;CEJHABGKLDF;ADLCBIHKEJF;FECJHILGABD;DLCIGBKHAFE;KIELFDJCGBH;GKCFIJABLEH;LFKJAEDGBCI;DAKIHGLBCJE;LEACKFGIJDH
57;Camilla;ABCDEFGHIJKL;12;CFFCCCCCFFCC;EHKALBGCIDF;AICKFGEDJLH;HJCDKALIFEB;ABCJKHFEDGL;GFJEDHCLIAB;CBIELFGHKJA;JIDKFCHBLGE;HBCKIJFAGLD;AEHGKJCIBDF;GCEFKLIAJBD
58;Julian;ABCDEFGHIJKL;12;EEEEIEIIIIEE;BIFCLGJEAHD;ELIJGHKABFD;LKFHIEBCGDA;CLBEFHKJIDG;ILEJBDHFCKA;KGJECABDIHF;DEHGCLAKBJI;DBEFGKJCLAI;KILGFDJACHE;FLHKEBIJACG
59;Arianna;ABCDEFGHIJKL;12;FFGFGGGFGGFG;JDFABGKHIEC;DCKBAEHLIGF;ELBJGIFDKCH;FDLHJGCAEKB;BDIEJGFHLAC;JDBFKHGEILA;EDGILCKHAJF;IKJBALHCFGD;JFCKHLAIEGB;GKFEDLJABIC
60;Jack;ABCDEFGHIJKL;12;BBBGBBBBGBGB;EFBCAHLKGJI;FKEBGHCJDLA;KIDEBLHCAGF;GHJEDBFLCKI;IDJCFGBHALE;KAEHFJBIDGC;IEBKAHDCGJL;CJLEDGBIKAF;FDAEJKHLBGI;BHFAIDKCGJL
61;Eliana;ABCDEFGHIJKL;12;GHGHGGHHHHHG;LHIJAFKEBGC;JAIECFGKBHD;AGIJFEBKLDH;JHGKLFEIADC;JFDEGLCHBKI;AFGBIDKCEHL;KLCJEDAIHGB;JHCBAFDGLIE;CBGKLADFHIJ;KFBHLEJADCG
62;William;ABCDEFGHIJKL;12;JHHJJHJHHJJH;CDJLIBAGFHE;FACDLKBJEHG;LEJHGKABDFI;EKLDGHFIJCB;EJBHCIADFLK;JDKBHFCGLIA;CEGKLHBIFAJ;HFKDLCEIAGJ;BDJACGHLIEK;HJEBKDAICFG
63;Hannah;ABCDEFGHIJKL;12;BEEEEBEEBEEE;LEIBFAHKDJC;JICKBGHAFED;GLJHIKEBFAD;CJDFBKILGEA;GECHKBALIFJ;LGFIEKHABCD;ADBLHCJGEIK;FGADCLEHJBI;BDAGHFELJKC;DKGJEFCBLHI
64;Wyatt;ABCDEFGHIJKL;12;GGJGGGJGGJJJ;KBHGDAJCEIL;CFHEJGLABKI;LDFIJGHBKAC;EDGFLKHAIBJ;EFLBKIGAJDC;DFKCBEILJHG;GHDLEAJBCIF;EGKILAHFJDC;JDFABGHCKEL;IGDKHBJEFAC
65;Leah;ABCDEFGHIJKL;12;EEEEGEEEGGEG;IKGAHCFBLEJ;HDKIFCBAEGJ;EKCGAJFLDIB;KGIEBFAJLHD;FDJBKLGEACH;BHJDIECKLGF;CGDBLFAHJIE;DAGJLBEICKH;JHCIGDLKFAE;BIDKAGFLHCE
66;Gabriel;ABCDEFGHIJKL;12;HHHHHHHHJJHH;HKAEFCBIJLD;GIEBCHFJDLA;GEDLBIJAKFH;IAEKLJGHCFD;FDCBLKHIGJE;CJFIEKABGLH;AGEDIKHCJBL;CKGDIBEFHJA;KFAJDICBHGL;CFBALDKGEHJ
67;Ellie;ABCDEFGHIJKL;12;EHHEHEEEEHHH;DAJGECHLKBF;DJBACGLKHEI;BKADEGFLHJI;ICBKGEJALHF;DBEJFKHGICA;KGDEBIHLCAF;FBCHEKILJDG;IFLAKDCHEJG;HJBGLDFCAEI;JHFLAICBKDE
68;Connor;ABCDEFGHIJKL;12;HDDDDDHHHDHD;IFDCHLGEKJA;FELJKBCGADH;FAJCILBGHKD;HFJIELCDGKB;BHDGJIECFLA;ADFHIJKLCBE;KFAJGBLHDEI;HJLKDGIAEBC;FIACBKGEHDJ;ALDCIBKHFEG
69;Kaylee;ABCDEFGHIJKL;12;GGGGGKKKGGGK;JKCAEHDBIGL;FBLIKDCJGEA;GKAHJDBIFEC;CILEFJBGAHK;HBGKDLFACJI;AJIFLKBGEHD;LFAHCDKEJGI;CKEBGHDLAFJ;HGBDFCLEJKI;IHBKECDLFGA
70;Henry;ABCDEFGHIJKL;12;EEKKKEEKEEKK;KAHFGDLJIEB;DAELKCHGBIF;CJDKLGFHBEA;KDBGIJCFELH;HCEKJGDILFA;GFKEIAHBLJC;KHFJEICBGAD;KJGFDBEAICL;LKJAIECBDHG;FIKBDHJLEAC
71;Kinsley;ABCDEFGHIJKL;12;GHGGHHHHHGGG;GJKHECALFIB;JDFAHCKIGLB;HBEALFCIGKD;DEKAHIJGFBL;DILKBHCAGEJ;BDILCHGAFEJ;HLIFJADGKCE;KIDFGBCELHJ;DJFIEGKCHBA;EGCBJFDKLAH
72;Isaiah;ABCDEFGHIJKL;12;HHEHHEEHEHEE;CFBIDEAHKLG;AGFHICELJKD;JFDBLAEGKIH;BIKHEDFJGLC;AGCLDBIKHJE;FCBDGKEAHIJ;AGKBCHJDFEL;LHEJAIBKFDC;CDBFIALJGEH;BLKECAHIJFG
73;Hailey;ABCDEFGHIJKL;12;CJJCJCJJJCCC;KBIEJGCHFAL;GELHJKFCIDA;CEFJBAGIHLD;KDBFGLACJHI;FCKGIDBEHJL;CEAKDJHGBLI;BEDICKJFAGL;AJIGHFCKBED;LBKFDCEJAIH;JFGCBALKDEH
74;Isaac;ABCDEFGHIJKL;12;LHHHLLLHLHLL;HFCKJEALBGD;BAKFDHLEJIG;LIGDCKHABJE;KCEFJDBLHIA;HLGEKJFIDBC;AFIGCJLEHBK;ACHJLIKGDEF;AFIJLBKCDHG;IGBHFCAEDLK;IBGACHLFDEJ
75;Madelyn;ABCDEFGHIJKL;12;DLLDDDLLLLLL;CAGFEBKDLJH;ICJLFBGAEHD;DCLIHKFGBEJ;DJELFGKHBAI;IJCFKBAHDGL;CFAIELKBHDJ;CBEIHLFAGDK;DEFCAGHJIKL;HKBECGADJIL;LAIDECGJKBF
76;Owen;ABCDEFGHIJKL;12;CCCJCJCJCCJJ;LGKBJHIEACF;AKFHJGCBDLE;FDJBKHEAICL;BEHDLGFJCIA;CAJBDFLIGKE;GJCHLFAKIED;BGJCFIKDHEL;IDLHAGCFKJB;FIJGECKHABD;GDKHLEACIBJ
77;Paisley;ABCDEFGHIJKL;12;IGIIGIGIGIII;BHCGKFJLIEA;EKALIHJDGFC;GJILBKEDCAH;BFGKCDHAEIJ;DBCKIAGLEFH;CKLBDAGHJFI;AHJLGDIFEBC;FAIEBGDKLJH;CAJBKGFLDEI;KELDHCIJFGB
78;Levi;ABCDEFGHIJKL;12;EEECCCECECCE;CGFALDEJBHI;BHFGAIJECKD;IDFJHLCKBAE;EJKHFLGBICD;JGIDLCEBAFK;HBLCFGAKIDE;KCIGHFBJELA;JIDKHLACEGF;CEGJKHBIDLA;JDBACLKHFEG
79;Elizabeth;ABCDEFGHIJKL;12;KDKDKKDKKDKK;AEGHFIJCDKL;ADGHKCFLBJI;BHDJFIECKAG;GIKAFELBDJC;LIBGAEDHCFK;DJKFEBHACLI;ICGBKLJHEFD;LAJBHGDKFCE;BHAELJIGKDF;HGLKIEJADBC
80;Cameron;ABCDEFGHIJKL;12;JJJJLJJJLLJL;BJCAHKEILGD;LAIHFEBKJGD;GLKEDFAIBCJ;GICHDEBAFJL;FHLCKBGEDJA;LDEIKBGFCJH;HKEBCGIJLAF;LAHCEGKJIDF;ACBFILDKHJE;HJLCBGKFAID
81;Addison;ABCDEFGHIJKL;12;IIFFFIFFIIII;BKADCGEFJIL;FIJAGDEHKCL;HJFLIGCKDEB;HKLIJACFDGB;ACGFEHBJILK;FHDIJBLEAGC;EAHJBFGKIDC;EDLAHBFJCIK;DKEHBCLAIFG;IEKHBLFDAGJ
82;Nicholas;ABCDEFGHIJKL;12;EEEEEEEEEJJE;FAJDBLCHIEK;DLHKAEIFCJG;DLBIFGJHECK;IHGJCDBAFEK;CFIKEJBGALH;BKAICELFDGJ;FEGLJIBDACH;HDIBKAEGJLC;BIAKLFJGDEH;JBCFHLEGKAD
83;Isabelle;ABCDEFGHIJKL;12;CICIIIIICCCI;HDJBCIFAEGL;AFGKJHCDIBL;ECBFKLIHDGA;AGHCKEJFIBD;BICDJHKLEFA;IGKBJLHCDEF;KGAIHCLEJDF;JEFGAKLHICB;AEHDCJBLIKG;AJFKBGILEDC
84;Josiah;ABCDEFGHIJKL;12;DDLLDDLLDDDD;JCDBEAFKHLI;LCEJHADGFBI;DLJGCFBKEAI;JFAKBEHLDIG;JAEDBILGKCH;CJKELAGFHID;GKFDBLJHAIC;GEDHLIAFCBK;DFECIJKBHLG;KGLABDEFHCJ
85;Anna;ABCDEFGHIJKL;12;LLGGGLLLLGLG;BFLCGHIJADE;EALJHBGDFIK;GLKEHDCAFBJ;HCGBJDLKEFI;HGKJLCEBIAD;ILHJKFCBGAE;KDBFGIJLACE;ADEBKILGHCF;ACIHBFLGJDK;ELCKHFJAGID
86;Lincoln;ABCDEFGHIJKL;12;DHHHHDHHHHHH;LHBIKEDCJGF;EFJLADHBCKI;ALGEHFDIKBC;JKECDGBFALH;LHFCGIBADJE;GKIFBCHAEJD;DGJKLIEAFBH;GIAEKDLHBJC;DKJGACILHFB;DCLFHEAGIJK
87;Sarah;ABCDEFGHIJKL;12;JAJJJAJAAJAA;EBDACIFLHGJ;LJDIAKHGECB;IJDCLKFABGH;JILDFCKBAHE;EBGHLAKDFJI;BGFHLKEACJI;CDEAKHJFIGB;EGILDKHFJCA;IFLAGKBJCDE;CADKBEJFHGL
88;Dylan;ABCDEFGHIJKL;12;DDADADDDDADA;AIKJHFGDBLC;KCDGAJIEBFH;ABGIFJLECKD;GIHJKLEFDBA;HLAJIEGFKDC;DBCEGHKJAIL;BCLJEFHGDAK;GICHBLDEAFJ;KGEHILFABDC;BDIFJCKAELH
89;Brooklyn;ABCDEFGHIJKL;12;LLKLLKLLLKKL;IGBKFLHAECD;KJIDACELGBH;ABGFJKIELCH;DLCKGFBHIJA;LFGHKJDEBCI;BGKAEFJCLHD;FHEKDCIJGLA;LEFDCKAHJIB;GJLBHKFAEID;GLACIEDBKJF
90;Samuel;ABCDEFGHIJKL;12;LKLKKKLKKLKL;LCABJHEIKGF;FILDKHJGECB;HKGEBAJDFIL;IKDFJBCEAGL;LHJCDEBKAIF;KDHFEICALJG;GKFIDCHBAEL;JCHDABIKELG;ACBJKFGILHD;EKGFLACBJDH
91;Mackenzie;ABCDEFGHIJKL;12;BBHBHBHBBBBB;CJDBHLFAGKE;JBCFAIGDHLE;LABGEHDKIJC;AIHCFEBJKDG;GHKJLIEDFBA;CLJDIFBAHKE;LKIEHDGJFCB;CHFJAKLGDIB;FBAHGICKEDL;ICLBJEFKGAH
