ID;Name;PasswordChars;PasswordLength;Password;Hint1;Hint2;Hint3;Hint4;Hint5;Hint6;Hint7;Hint8;Hint9
15;Riley;ABCDEFGHIJK;10;BBGBGGGBBB;GHEDCIJBFK;FGJDIBAEHK;CIHJKGAFBE;JAICFGKHDB;BEGDJHAKCI;CBGKDEIAJF;JBCHAGEKDF;HAKICEDBFG;FHDBCEJAGI
16;Mason;ABCDEFGHIJK;10;JJAAAAJAJA;EKJHAIGDCF;HKABGFDJIE;FAJHIBCGEK;HGBAKFIJCD;ADHEKCBGIJ;BCAFEKJDHI;BCGEFAKJID;CHFDAKEBJG;AIBJFHEDGC
17;Zoe;ABCDEFGHIJK;10;AJAAJJJJJJ;JHCFDAGEIK;AEFDIKHJBG;ACBKHGJIFE;AKCGBHDJIF;DHJEGCKBAI;ECBKFAHIDJ;CBEFIDGKAJ;CFDBGJEAHK;HAEDIFJGBC
18;Elijah;ABCDEFGHIJK;10;EJJEJEJJEE;KDCBEHFJIG;AKECJHGFDI;BJKDHEGFAI;JHBEKIACGF;HCJKEIGADB;BKIADJEFCH;JBCGADIEKF;JKHEFBDAGC;BDCGJFEHAI
19;Amelia;ABCDEFGHIJK;10;GDDGGGDGDG;GCIKHFJDBE;HEKJAGFCDI;HDJAKEFBGI;DFCBIJAHKG;JGIHACKBDE;KFAJDCGBEI;HEGDCAKJFB;CDABKEHGFI;ECAJFGDBIH
20;Logan;ABCDEFGHIJK;10;FFEFEEEFFF;KHBFCJGDEI;KDCEAGFIJH;ADKJBHEGFI;GHIECKAFBJ;KFIDEJHBAC;EIJADCFKGB;JFHDCKEAGB;GBAICDEFKH;GJFIEDACHB
21;Layla;ABCDEFGHIJK;10;CCCHCHCCCC;GIFHBJEKDC;GFCDKIJAHE;IABJGKEFHC;IGJDHABCFK;JHKDIGCAEB;KFJBDHCAIE;JBGAHFDCEK;HIAGEDFCBK;DJAEFICHBG
22;Oliver;ABCDEFGHIJK;10;ABBBAABAAA;AFKJHDIBEG;FGCAIEBKHJ;ADGKIJHBFC;HJEICGDKAB;EHCIKJABDF;GABFKIEDCJ;FJGKHEADBC;CAFKGBHDIE;HFBGACIEDJ
23;Charlotte;ABCDEFGHIJK;10;BGBGBGBBBG;ECKBFJGIHD;KDAIJBFHEG;JCIEKAHGBF;GBIFHDKACJ;CGIKHDBEAJ;BJIAFCEGKD;GJBECKAFHD;HGAFCKEBDI;FDBCGAJIHE
24;Ethan;ABCDEFGHIJK;10;HBHHHBBHHH;DHJKGEFBCI;IBFHJAEGKD;AJECIHGKBF;HAIDBJFCGK;BDCIAGHKJE;DHKJAFBECI;BCHJEAKFDG;HIGFADKCBE;EHBGDIACFJ
25;Aubrey;ABCDEFGHIJK;10;EJEEJJEEJE;HDFEJBKICG;IEKFGADJHC;FDJAHGEBIK;KCEFBAIGHJ;IDCJBAGEHK;IKHJCDBAEF;JCGIFDBEAK;KBECAFDJHG;CAJIBDEFHG
26;Jayden;ABCDEFGHIJK;10;CGGCCCGGGG;DJEHCBKFIG;CFGKJAIDHE;ECFKBIAHJG;GDCIFKBJAH;HJBGAIKCED;DICKFBGAEJ;GFDCKBAHJE;DAKFBHEICG;AGEDCBHIFJ
27;Lily;ABCDEFGHIJK;10;DHDDHHDHDD;KCJFIBHEDG;FJDKCAIEGH;DABGJEFKIH;DCGIKHFABJ;KDGBEHIACJ;IBCKDFHJAE;EHABDKCFJG;IGBCHKADFE;DJGIECFBAH
28;Muhammad;ABCDEFGHIJK;10;BCBCBCBBBC;EDFGHKIBJC;HEICAKBJFG;CABIDFGHKJ;DHAKICBGJE;IHAKJCEBFD;CEABFJGKID;ABGKFDHCEJ;KEHAFIDBGC;JBHDAEGCIF
29;Chloe;ABCDEFGHIJK;10;CEECECCCEC;KEGDHFCBIJ;GCIHAEDKFJ;HFGKIBACEJ;CJHGKBDAIE;FECIBJKADH;GAFCIBEKJD;CJBAKEGDFH;EKHBFDGIAC;IHAGCEFJDB
30;Carter;ABCDEFGHIJK;10;BBIIBIBIIB;CKFGBIHDEJ;EJDKIHGABF;ECHIJGFBAK;AFHIBCKGDJ;IHCBKGEJAD;AFHIDJKBCE;IBGCJKFAED;EADGCHIFBK;DACHIFGJBE
31;Harper;ABCDEFGHIJK;10;EAAAEAEEAE;IAFKCHJGDE;AKFDJIHGBE;BGECFIJKAH;BJDAIGKEHC;IHEBKACJDF;BJDIGAKFCE;EFADJKCBGH;CAHFKGEIDB;AFJBEHICGD
32;Michael;ABCDEFGHIJK;10;DCDDCCDDDD;JGFEICBKHD;CKJDHGIEAF;KIGDHABJCF;GDEIHACBJK;BICEAFDHKJ;JGFCKBDEAI;HCBGDKFAJE;BAHIKGCEFD;EGCIBADJFH
33;Evelyn;ABCDEFGHIJK;10;IICICCICCC;CDBJHIEGKF;FIKGEHCAJD;BIJAGEKFHC;CADBIHFJKG;GHJDBKAEIC;KJEIDHABCF;ACBGKFDIJE;AIBCKDHEFG;JCGHDBFAIE
34;Sebastian;ABCDEFGHIJK;10;EIIIEIIIIE;EDFKHGJBIC;KFHIDJGACE;KHAIDGBJFE;CIABGJKEHF;JKEIDCBAHG;KIDFJABHEC;FDBGJCAEIK;HACKBIEDFG;FIABHJDGEC
35;Adalyn;ABCDEFGHIJK;10;JJJJDJDDJJ;IKEJFCBHDG;AHDCFKEJGI;DBIKAHJGEF;DKAIHGFJCB;CABKHEDJIG;ABJEFCHDKI;GJAFEBCDIK;GFJDEKCABH;IABCHEDJFG
36;Alexander;ABCDEFGHIJK;10;HKHKHKKHKK;CEBHKDFIJG;FGJADKCIEH;AGDIFHKJBE;FHCEKABGIJ;BFJAIDCGHK;BCAHEJDGIK;JFCDIHKAEB;HJKFGCABDE;BEGIKACDHF
37;Emily;ABCDEFGHIJK;10;EHEHEEEHEE;FJCBIHDEGK;KJAFIDCEHG;JKBFIDHEAG;FHIKCAJGBE;HBIKCADJEG;EFDAJBIHCK;GBHKCEFAJD;CIGHDAKEFB;DABIGEHFJC
38;Jacob;ABCDEFGHIJK;10;BBKKKKBKBB;KGBCJDHIEF;DFKGIAHJEB;FBKEGHJACI;AJHCDGIFBK;CHKDBEGJAI;EHBKJCAFDI;DKJEGFBACI;AEKHFJBCDG;IBEFACDHKG
39;Abigail;ABCDEFGHIJK;10;FDDDFFDDDF;HGCEDFBKJI;HDGCIAFEJK;KGFDBIAHEJ;AFDGHIJCBK;EKAJFIHDBC;AKIDGBEJCF;FEABHJDGCK;DGKHECAFBI;JBEFDIAHCG
40;Benjamin;ABCDEFGHIJK;10;GGGBBBGBBB;CHJBIDGKFE;FAEJGBKIHD;AGJCEKFBHI;KGDFAJIHCB;DGIJBKACHE;FCKDJBAGIE;CHFDBEGAKJ;HDCEAKFIBG;DBGIAHFCEJ
41;Madison;ABCDEFGHIJK;10;EIEIEEEEEE;JHBEGIDFCK;CFHGIDKJAE;JGEFHAIDKB;IGHJCAFKBE;CHGIJABDKE;HIAECFDBKJ;ABCIFJKDGE;HDAIGBCKFE;CIGBHFEADJ
42;James;ABCDEFGHIJK;10;JJBJJBBBJJ;GHJDBFKIEC;EHDIAGKFJB;CAKBHJGEFI;KCHIFDGABJ;DJKEIBHACG;AJCEFHIDBK;CIBAEFGDJK;FDJGHCEKAB;HEACBJGFID
43;Aaliyah;ABCDEFGHIJK;10;BGBBGGGGGB;DECIGKBFHJ;FAKEGHJBID;JGHAFCKBEI;FICJBADKGH;JKDGAICBHE;KAGFBDECIJ;KFHGCDJAEB;HECBDIFGAK;EIBAFCGJHD
44;Ryan;ABCDEFGHIJK;10;GCGCGCCGGG;BICFGJHKDE;KHDEICJGAF;JHCBIKAEFG;FHKDCGJBAI;IAKGCHEBJD;EFCKADJBIG;BGFCAHKJDE;CHEAFGBDIK;DGEJHBAICF
45;Avery;ABCDEFGHIJK;10;EEHHEHHHHH;FKJDEGCHBI;KJACEGFIDH;HABKFIGEDJ;IHCKFAEBJG;JHBAGICEKD;KCFDABJEIH;CBGDEAKHJF;BFHEKDAICG;FHGBEJADIC
46;Matthew;ABCDEFGHIJK;10;DAAAADDDDA;KADIJHCGEF;DJGKBEAHIF;IFDGBHCJAK;JHBDKAEICG;EFCHJBKIAD;KFAIBDECGJ;CFDBGJKAEH;CEBFKHADGI;BAHFEDCIGJ
47;Ella;ABCDEFGHIJK;10;KKIIIIIKIK;FCDIGKBHJE;KGCJFDEAIH;IABFHJEKGD;BECAHKFJGI;CBIJGHFKAD;CDEJAIBHKG;JDBEKHAICF;JDGEAIBFKC;AKBIHFDEGC
48;Daniel;ABCDEFGHIJK;10;DDIDDIDIDI;KHGJCDIEFB;GAIFKHCEDJ;HIEFAKGJBD;GIFDKJBCAH;DKGCJABIHE;FIKCAEBJDH;IJCAGBFEDK;IHFBCKDEAG;ABEHJFGCDI
49;Scarlett;ABCDEFGHIJK;10;FDDFDDDFDF;FEBHGCJDIK;KIAHFDEJCG;KDJFBHEAGI;IAJBGFHDKC;BECKDFIAHJ;GADBCFKEIJ;KHAFGDJEBC;AKDCGHFEBI;GIDFHEACJB
50;Jayce;ABCDEFGHIJK;10;IGGGGIIIII;DKIGFEHCJB;GEKHDJACIF;DIJKHAEGFB;HKCJFEBAGI;KIGDHCABFJ;BCEIJDGKAH;BCGEKDAIJF;EKBICHDAFG;ABJDEFHIGC
51;Maya;ABCDEFGHIJK;10;IDIDDIDDDI;FGDBKHEJIC;IGAEHCFKDJ;KGEDFHBJAI;DBIAKGJCFH;IDACHGBKEJ;IJKEDFAHCB;KEADBGFJIC;FICEGDKHAB;IGBCAHJFDE
52;Mateo;ABCDEFGHIJK;10;AAADDDDDDD;AGJCKHIEFD;IBAGJDEKHF;BCKHIGFJAD;CDEGBAIKJH;EDKIHCFJAB;FBCEKIGJAD;ACHKJFDBGE;ABHKFDGICE;AGIEFJBHDC
53;Mila;ABCDEFGHIJK;10;HHHDHDHDDH;HJGFBDCKIE;JDCEIKHGAF;BJIDFEKAGH;KBFGAJDHIC;EIAJKHBCGD;JKAEBDCIHF;DKGJHFBEAC;DCGEHFBAKI;JGHIAFDCEB
54;Caleb;ABCDEFGHIJK;10;GBBGGBBGBG;DCEHBKGIFJ;KJBHFEGIAD;HECBKAJIFG;HKAFJDBGCI;GHAIECJBDK;FABJEKCGDI;DCABFJKHGE;HBKCDAGIEF;CAFGBIJEDH
55;Nora;ABCDEFGHIJK;10;DBDBDDBDDD;BCGIJHKDEF;EFDHJKABGI;CKDGIJHABF;BKAGICDEHJ;JFAKHEICDB;GEDFIJAKCB;HFCGKEDBAJ;DCIAKEBHFG;GBHFECDAJI
56;Luke;ABCDEFGHIJK;10;GGGGEGGGGG;BCDJKHEIGF;CIKGDAFEHJ;DGAKFIJEHB;ACIFHJEKGB;DIJECGKABH;FJBIGACDEK;KHGJABDFEC;GCDEIBAHFK;AJBCIEGDFH
57;Camilla;ABCDEFGHIJK;10;JJHHHJJJHJ;IHBGFCKDJE;KJCIFHGEAD;BEDIJHAKFG;KJHIGCEAFB;BIGJCFDHAK;HDGKIBEACJ;DAJKBCEFHI;JHECDFKABG;FEGDHBACJI
58;Julian;ABCDEFGHIJK;10;CJCJCJJCCC;JDFGCKHBEI;KCFGDAJHIE;ICHAJKEBGF;HGICADJFKB;HJGAKDIBCE;DJAIHCFKBE;JDCGIFBAKE;EGHBKADJCF;BJDHAECIGF
59;Arianna;ABCDEFGHIJK;10;KKCKCCKKCK;KBCIJEDGHF;AFHKIDCEJG;AJIEKCBFGH;KJDBFIGHAC;GHAKBIDEJC;HCJDBIEAFK;EFKDAGBCIJ;JKDFABCEHG;HFGIBKAEDC
60;Jack;ABCDEFGHIJK;10;KDDDKDDKKD;CEGIHJBDFK;EDAKFJHICG;KFEBJGAIDH;CJIAHKGFBD;HGCDEJKABI;DKHACFEIBJ;AIFCGJKEBD;FCAJBGDKEH;DKIHGCBEAF
61;Eliana;ABCDEFGHIJK;10;GHHGHGHHHG;EJCHDGBFIK;DCKJEFIGAH;IAKHDEGFBJ;EKGIBJHACF;BIDFJHCGAK;HIBADJGCEK;CBEKDFGJAH;FCAEBKIGHD;HDAFECIGBJ
62;William;ABCDEFGHIJK;10;GFGFFGGFGF;KGJEHIBDFC;IKDJFCHEAG;JDHFKIBGAE;HFEAJKCGBI;JGDIAKCFBH;CKBFDEJIAG;ABCJKEGDFH;AFBGEHCDIK;AICGHEFDJB
63;Hannah;ABCDEFGHIJK;10;HHCHCCCHCC;JKEDCHGFIB;AIDEGCHFJK;CGFBIAKHJE;BGFCAHDKIJ;EDHCGBAIJK;KDFHCIABJE;EDAKHJCFGB;CBGHDAEKIF;IHGDCBFAJE
64;Wyatt;ABCDEFGHIJK;10;DDADDADADA;DACGFEHIJK;DIEAHFBJGK;KDAJFHBIGC;GKEHAIDCBJ;HJECIDFABK;GIJAKDCBEF;DKHJEGBCAF;KBICAHGDFE;BJCFIDEHAG
65;Leah;ABCDEFGHIJK;10;AAAIAIAIII;JAGDIHECKF;JIEBFHGAKD;JEHGFICAKB;GCDHFIJBAK;HAEBDIKJGC;KFJCAHDEBI;EKIGJAFCDB;GBADKCEIFH;BEDJIAGFCH
66;Gabriel;ABCDEFGHIJK;10;IDIIIIDDII;JCGFDIEKHB;KJEGCFIAHD;FEHJGABIKD;IGFHDBAJKC;KDAGHCIJBE;DJABFKEICH;KEDIABGFJC;IKGDBFHAEC;BFJHAEDCIG
67;Ellie;ABCDEFGHIJK;10;FGGFFGGFGG;IBGHEJKFDC;CGHFIAKEDJ;KDEBFAJHGI;HBKIACFEGJ;CAHDIKJFGB;KGDFIAJBCE;KGABJDEHCF;AHGDBKFEIC;CEDAGIHJBF
68;Connor;ABCDEFGHIJK;10;HHAHAHAAAA;IADGCFKHEJ;DKBAGIFHEJ;IBFHJKEACG;BFDCHAKJGI;ECHGKDABJI;FBCAKIEHDJ;EDHJFKGACB;HGEKCABFDI;JHABCIFDGE
69;Kaylee;ABCDEFGHIJK;10;GAAAGGGAGA;JIAHCFDKGE;AGFBIDKEHJ;FECHKGIAJB;IGDHBFAKJC;BHJGEKDACI;KJGIADECFB;ADEFCGHBJK;FCADKGEIHB;CDEJBHAIGF
70;Henry;ABCDEFGHIJK;10;CCCACCCACC;CHIDEJKFAG;FKEGJHBAIC;IDBKCFAJHG;DBJEIAHCGK;IBAJEKCDFH;IKADFBGJCE;ADCKBGEFHJ;FCKDAIGEHB;CADFIJEHBG
71;Kinsley;ABCDEFGHIJK;10;CCCKKCKKCK;DHFGIEJCKB;DEGJAIHFKC;GHIABKECJF;GJIDBKFCAH;IJCGDHAKEB;HIDJAKBFCE;KCEBJAFGDI;HAJKFBCDGE;KADCBFEIHG
72;Isaiah;ABCDEFGHIJK;10;KIKIKIIKKI;CGBHJIEDKF;GCAJKDHFEI;FGIBAJHDKE;BJIEKAFHCG;BGFKHIACJD;BCHAIDKGEJ;JAKHCFEIDB;KJFDGBAEIC;DHKAFEICBG
73;Hailey;ABCDEFGHIJK;10;CCFFCCFFCF;JFDIGHBECK;EAKIGCFHDJ;AHKEBGJICF;FKBCJAIGDH;ICDHEKFAJB;BEGCDAKJIF;GAEJBCFHDK;HACFKEDGBI;HGJIFEDABC
74;Isaac;ABCDEFGHIJK;10;ICICCICIII;BFIGHECKDJ;HCEFADIGKJ;HEBAFCKGJI;BCIFHAKGDJ;IJEAHDBCGK;IHEAKDFCJB;AEKGBFIDJC;HGDEKCFABI;FCHIDAEGBJ
75;Madelyn;ABCDEFGHIJK;10;AAGGAAGAGG;GFIHEDCKAJ;EBHFGAJIKD;JKEAICBHFG;BDFGIJHCAK;KHCBGIDAJE;JGKCBAEDFI;FJHECKBADG;IFBDCHGAKE;JCFGHBADEI
76;Owen;ABCDEFGHIJK;10;JJDDJJDDJJ;FECJIGHDKB;CFJIGEDKAH;DJKGEABIFH;GKDHFABCJI;EJCKBGIADH;AFJBHKEDCI;DJIKEFBAGC;DFJACGHBKE;EIGFCBDJAH
77;Paisley;ABCDEFGHIJK;10;BBFFBBBBFF;GDIEJBCHKF;IJBDHEKAFG;BKFHAGEICJ;DCHBAGFJKI;CAIKJFHBED;AEBFDKGICJ;BAHCFJKEGD;AIDEGHBFKC;CGFJHBEIAD
78;Levi;ABCDEFGHIJK;10;BCCBBBCCCC;FKDCBHJEGI;BGEIHAJKCF;FJGDCBAIHK;JECAKIGDBH;JHAEFICBDK;FDCIGKJAEB;BAFGKEJHDC;CDAIGKEHFB;JFADHEICBG
79;Elizabeth;ABCDEFGHIJK;10;FFBBBBBBBF;FKBGEDCHIJ;BKJFIDEAGH;EGBHKJIAFC;IJFKBHDCAG;HDFJECKIAB;DGKAEBJFCI;HCKBFDEAGJ;AIBHEKDFCG;GICHJFADEB
80;Cameron;ABCDEFGHIJK;10;HKHKKHHKKH;EHJKGDIFBC;GIFAEHKDCJ;BKJDFIHGAE;IAGKJEFCBH;BHGCADKJFI;CAHKGIJEBD;EBIKDAJCHF;BKGFHCDEAJ;EKABHFDCGI
81;Addison;ABCDEFGHIJK;10;IHHIIHIHII;HDGIJCBKEF;JCHKADGFIE;BKDJFAHIEG;ICGHKAEJFB;IFJHADKGCB;BCHGDJAIKE;FBCAKIJDHE;GHDCFABIEK;DEFICHBGAJ
82;Nicholas;ABCDEFGHIJK;10;BBBBGBBBGB;FHIECGBDJK;HGFIADEJKB;HBEGFCJAKI;CBJDIAGFKH;CGAEJIKBHD;EGKFCIJDAB;HGEKFCBDAJ;HGADFBKICE;IGCAFEBDHJ
83;Isabelle;ABCDEFGHIJK;10;CDCDCDCCDD;EDIFBJGHCK;FDKHGJECAI;FGBJAIDCHK;CJHGKDEAIB;AIDECHBFKJ;IJCEDFKBAG;GDKJEFABHC;CIEAKDGHBF;FBHDJGIAEC
84;Josiah;ABCDEFGHIJK;10;KAAKKAKKKK;DJEFIAHKCG;FBAIEHJKDG;HBICAKJEFG;FIKBAGJHCD;ACIHGJBDEK;EDKHAICBFJ;JEIACBFKGD;GEHDJFCAKB;FBGCDIAKEH
85;Anna;ABCDEFGHIJK;10;BBBDDDBDBB;FKEIJHGDBC;IHEAJBFDKG;BIFJDACHGK;CIHDBGAKJE;CJKHFDAIBE;FABIJGEKCD;AEJKGCHBDF;AEDBKIHCFG;IFCJGHDEAB
86;Lincoln;ABCDEFGHIJK;10;GGGJJGJGGJ;HKIEDGJCBF;KDIACFJHGE;BJGAHKFEID;IFKJAHBEGC;BDGIHFKAJC;CJGIKEBADH;GDEIJAFKCB;FKEABCJDGH;FBAJICGEHD
87;Sarah;ABCDEFGHIJK;10;IIIDIDDIDI;KDBCGFJIEH;AGEJCFHDIK;GHDBAFKIEJ;CFJKGAIHDB;JIBCHADKGE;DCIKFBEAJH;FEBKIJCDAG;EFAGICDBHK;BGAFDCIEJH
88;Dylan;ABCDEFGHIJK;10;KIIKIIIIIK;HFDKEBJGIC;FKGHCDEJAI;JDBHFKAIGE;IAHGEKJFBC;FAHKDCGBIJ;AHCEGJBIDK;HAJKDFEBIC;ACDEKGJFBI;AEHGBIFKCD
89;Brooklyn;ABCDEFGHIJK;10;AGGGGGAAAA;KHGADICFJE;HBIFEJAGKD;CHKGIABJEF;JDIKHAGCBF;KCDJAHEIBG;ICEBKAGFDJ;KFBHGCAEJD;HBAKGCIFED;AJGICFDHEB
90;Samuel;ABCDEFGHIJK;10;AAJJJAJJJJ;EDCJIFHGAK;FHIAEDGJBK;BEJKCFGHAI;CIDAGBKFHJ;DHKCIJBAEG;IJBCEKADHF;FACKJGDEIB;EGJBHKADFC;BDFHECIJAG
91;Mackenzie;ABCDEFGHIJK;10;KKEEKKEKEE;JKHIFGCDBE;HCFEKADIJG;ABHDJKGIEF;AEJCGKBFIH;EAKBDGICJH;DFHKICABJE;GFCKBDAJEI;JGKECFAHBD;HIFABEKDGC
92;John;ABCDEFGHIJK;10;FFKFKKKKFK;GEFDICBJKH;DEAJGFICHK;DEIGAJBHKF;KIAEBJHCGF;IFADHGCBKJ;ECFDAKJIHB;BDAEFKCGJI;EGDJHBAFKC;IFGKCDEHAB
93;Victoria;ABCDEFGHIJK;10;GJJGJGGJJJ;DJEGHIKCFB;JGIHAKFDCE;BAFKJEHIDG;EAFKHCIBJG;IKDAHGCJFB;DIBHKACJEG;FGCEAKDIBJ;DBGCEJFKAH;DIHCGJEBAF
94;Nathan;ABCDEFGHIJK;10;GGGAAAAAAG;GKAHCDFJEI;DAFJEGKHIB;AFBICEKGJH;FHAGICBKDJ;KGHIBAECJD;IBFGCADEKJ;GDBKCHJEAF;IAHFGBKCDE;AHDECBFJIG
95;Luna;ABCDEFGHIJK;10;JJJHHJJHHH;EDGJKBIFHC;DAGIFEJHCK;JEAFHBDGIK;CFEKIJGABH;CAGKHBIJFD;DKGJEBHIAC;DHIJAEFBCK;ECBJHKFADG;DGJEIFABHC
96;Leo;ABCDEFGHIJK;10;DFDDDDFDDF;JHGEKCDBFI;IFKJCADGHE;EGHJDKBAFI;BGJKFHIADC;EHAJKCBFDI;JBAFEKCIGD;JBCAFEKGDH;IKCDEHAGBF;AEIGCHJDBF
97;Penelope;ABCDEFGHIJK;10;KFKKKKKFKK;CHGDBEKJFI;GFKECDHAJI;EGAFHIDKJB;AHFJCBGIEK;HACDBFJKGI;DEABKICFJH;BACDIJGKFE;KFDGHCJEAB;GHDECKBAIF
98;David;ABCDEFGHIJK;10;AAACCAAACC;JFKCHAGEDI;FBAKIECJGH;BHKFCDGAIJ;BGKDIAHEJC;JIDFKBHCAE;JICBFEAGDK;EAJBHCDKGF;BIGEKHACFD;ACIJBHFEGD
99;Grace;ABCDEFGHIJK;10;EAEAAEAAEA;JIHAGFCDEK;GHKEIBAFJD;BFJCIGEKAH;ECGAHBJDKI;JDCIBHKEAF;FBAJKICDGE;HFGDBCEAKJ;ACGIFDBKHE;HEACBGFIJD
100;Adam;ABCDEFGHIJK;10;AAAAKAAKKA;JAFIDEGHCK;GKHBEIDAJF;AEBKFJGHIC;AJGCFBHKDI;JEHIKAGCBD;FDEBJIACHK;CEKABDIFJG;CHJBADFKEG;KDGAHEIFBC
